diaName,signalName,StartMeter,EndMeter
1285C,大道寺入換112L,8.693684,129.13629
1285C,大道寺入換110LC,129.13629,266.69162
1285C,大道寺入換103L,266.69162,409.1027
1285C,大道寺下り出発1L,409.1027,954.4973
1285C,江ノ原検車区下り場内1LA,954.4973,1241.0093
1285C,下り閉塞151,1241.0093,1759.9357
1285C,下り閉塞145,1759.9357,2041.6656
1285C,下り閉塞143,2041.6656,2535.6255
1285C,下り閉塞137,2535.6255,2893.2275
1285C,新野崎下り場内5LA,2893.2275,3221.36
1285C,新野崎下り場内3L,3221.36,3367.4746
1285C,新野崎下り出発1L,3367.4746,3917.4595
1285C,下り閉塞123,3917.4595,4514.094
1285C,下り閉塞117,4514.094,5116.074
1285C,下り閉塞111,5116.074,5672.975
1285C,下り閉塞105,5672.975,5995.9146
1285C,下り閉塞103,5995.9146,6452.164
1285C,浜園下り場内2L,6452.164,6820.991
1285C,浜園下り出発1L,6820.991,7391.396
1285C,下り閉塞89,7391.396,7935.559
1285C,津崎下り場内3LA,7935.559,8301.963
1285C,津崎下り出発1L,8301.963,8817.197
1285C,下り閉塞75,8817.197,9189.855
1285C,下り閉塞71,9189.855,9588.017
1285C,下り閉塞67,9588.017,10273.635
1285C,下り閉塞59,10273.635,10837.878
1285C,下り閉塞55,10837.878,11338.342
1285C,下り閉塞49,11338.342,11837.28
1285C,下り閉塞45,11837.28,12238.576
1285C,下り閉塞41,12238.576,12874.54
1285C,下り閉塞35,12874.54,13560.911
1285C,下り閉塞27,13560.911,14073.388
1285C,駒野下り場内11LA,14073.388,14574.299
1285C,駒野下り出発2L,14574.299,15000.872
1285C,駒野下り出発1L,15000.872,15313.371
1285C,下り閉塞9,15313.371,15554.53
1285C,下り閉塞7,15554.53,15806.242
1285C,館浜下り場内1LC,15806.242,16287.96
