diaName,signalName,StartMeter,EndMeter
711A,大道寺下り出発2L,80.02977,621.0875
711A,江ノ原検車区下り場内1LA,621.0875,907.5998
711A,下り閉塞151,907.5998,1426.5173
711A,下り閉塞145,1426.5173,1708.2498
711A,下り閉塞143,1708.2498,2202.2131
711A,下り閉塞137,2202.2131,2559.7952
711A,新野崎下り場内5LA,2559.7952,2887.9436
711A,新野崎下り場内3L,2887.9436,3034.0603
711A,新野崎下り出発1L,3034.0603,3584.0505
711A,下り閉塞123,3584.0505,4180.6587
711A,下り閉塞117,4180.6587,4782.659
711A,下り閉塞111,4782.659,5339.5615
711A,下り閉塞105,5339.5615,5662.5034
711A,下り閉塞103,5662.5034,6118.7544
711A,浜園下り場内2L,6118.7544,6487.576
711A,浜園下り出発1L,6487.576,7057.976
711A,下り閉塞89,7057.976,7602.14
711A,津崎下り場内3LA,7602.14,7968.56
711A,津崎下り出発1L,7968.56,8483.789
711A,下り閉塞75,8483.789,8856.436
711A,下り閉塞71,8856.436,9254.598
711A,下り閉塞67,9254.598,9940.208
711A,下り閉塞59,9940.208,10504.456
711A,下り閉塞55,10504.456,11004.889
711A,下り閉塞49,11004.889,11503.841
711A,下り閉塞45,11503.841,11905.136
711A,下り閉塞41,11905.136,12541.11
711A,下り閉塞35,12541.11,13227.476
711A,下り閉塞27,13227.476,13739.987
711A,駒野下り場内11LA,13739.987,14240.876
711A,駒野下り出発2L,14240.876,14667.496
711A,駒野下り出発1L,14667.496,14980.01
711A,下り閉塞9,14980.01,15221.177
711A,下り閉塞7,15221.177,15472.884
711A,館浜下り場内1L,15472.884,15885.13
