diaName,signalName,StartMeter,EndMeter
671,江ノ原検車区下り出発2L,4.415051,277.6644
671,下り閉塞151,277.6644,796.86633
671,下り閉塞145,796.86633,1078.606
671,下り閉塞143,1078.606,1572.5508
671,下り閉塞137,1572.5508,1930.1454
671,新野崎下り場内5LA,1930.1454,2258.2986
671,新野崎下り場内3L,2258.2986,2404.4194
671,新野崎下り出発1L,2404.4194,2954.4023
671,下り閉塞123,2954.4023,3551.0386
671,下り閉塞117,3551.0386,4153.0273
671,下り閉塞111,4153.0273,4709.924
671,下り閉塞105,4709.924,5032.859
671,下り閉塞103,5032.859,5489.117
671,浜園下り場内2L,5489.117,5857.9473
671,浜園下り出発1L,5857.9473,6428.3486
671,下り閉塞89,6428.3486,6972.517
671,津崎下り場内3LA,6972.517,7338.9316
671,津崎下り出発1L,7338.9316,7854.1597
671,下り閉塞75,7854.1597,8226.813
671,下り閉塞71,8226.813,8624.9795
671,下り閉塞67,8624.9795,9310.6
671,下り閉塞59,9310.6,9874.862
671,下り閉塞55,9874.862,10375.33
671,下り閉塞49,10375.33,10874.286
671,下り閉塞45,10874.286,11275.582
671,下り閉塞41,11275.582,11911.546
671,下り閉塞35,11911.546,12597.899
671,下り閉塞27,12597.899,13110.404
671,駒野下り場内11LA,13110.404,13611.327
671,駒野下り出発2L,13611.327,14037.918
671,駒野下り出発1L,14037.918,14350.424
671,下り閉塞9,14350.424,14591.584
671,下り閉塞7,14591.584,14843.288
671,館浜下り場内1L,14843.288,15324.57
