diaName,signalName,StartMeter,EndMeter
1261,新野崎入換101L,5.143535,264.60205
1261,新野崎入換104L,264.60205,410.2975
1261,新野崎下り出発2L,410.2975,961.3843
1261,下り閉塞123,961.3843,1558.0074
1261,下り閉塞117,1558.0074,2160.0007
1261,下り閉塞111,2160.0007,2716.9067
1261,下り閉塞105,2716.9067,3039.8447
1261,下り閉塞103,3039.8447,3496.1006
1261,浜園下り場内2L,3496.1006,3864.9167
1261,浜園下り出発1L,3864.9167,4435.3257
1261,下り閉塞89,4435.3257,4979.4536
1261,津崎下り場内3LA,4979.4536,5345.911
1261,津崎下り出発1L,5345.911,5861.1367
1261,下り閉塞75,5861.1367,6233.793
1261,下り閉塞71,6233.793,6631.9526
1261,下り閉塞67,6631.9526,7317.5835
1261,下り閉塞59,7317.5835,7881.828
1261,下り閉塞55,7881.828,8382.294
1261,下り閉塞49,8382.294,8881.213
1261,下り閉塞45,8881.213,9282.516
1261,下り閉塞41,9282.516,9918.46
1261,下り閉塞35,9918.46,10604.816
1261,下り閉塞27,10604.816,11117.325
1261,駒野下り場内11LA,11117.325,11618.252
1261,駒野下り出発2L,11618.252,12044.805
1261,駒野下り出発1L,12044.805,12357.299
1261,下り閉塞9,12357.299,12598.467
1261,下り閉塞7,12598.467,12850.178
1261,館浜下り場内1LD,12850.178,13331.63
