diaName,signalName,StartMeter,EndMeter
766,館浜上り出発4R,76.7832,382.0939
766,上り閉塞6,382.0939,579.4218
766,上り閉塞8,579.4218,1068.7764
766,駒野上り場内1RA,1068.7764,1487.6454
766,駒野上り場内2RB,1487.6454,1792.5505
766,駒野上り出発3R,1792.5505,2404.1045
766,上り閉塞26,2404.1045,2860.3157
766,上り閉塞30,2860.3157,3460.9912
766,上り閉塞36,3460.9912,4107.8735
766,上り閉塞42,4107.8735,4711.1895
766,上り閉塞48,4711.1895,5401.5747
766,上り閉塞56,5401.5747,6080.804
766,上り閉塞62,6080.804,6681.813
766,上り閉塞68,6681.813,7236.1543
766,上り閉塞74,7236.1543,7657.119
766,津崎上り場内1RA,7657.119,8052.9634
766,津崎上り出発3R,8052.9634,8447.842
766,上り閉塞86,8447.842,8952.814
766,上り閉塞92,8952.814,9319.294
766,浜園上り場内1R,9319.294,9545.676
766,浜園上り出発2R,9545.676,10127.174
766,上り閉塞102,10127.174,10687.222
766,上り閉塞108,10687.222,11283.399
766,上り閉塞114,11283.399,11837.265
766,上り閉塞120,11837.265,12201.411
766,上り閉塞124,12201.411,12647.241
766,新野崎上り場内1RB,12647.241,13026.698
766,新野崎入換111R,13026.698,13333.67
