diaName,signalName,StartMeter,EndMeter
1282C,館浜上り出発3R,77.66745,382.1166
1282C,上り閉塞6,382.1166,578.99207
1282C,上り閉塞8,578.99207,1068.3394
1282C,駒野上り場内1RA,1068.3394,1487.2118
1282C,駒野上り場内2RA,1487.2118,1792.7496
1282C,駒野上り出発4R,1792.7496,2404.3179
1282C,上り閉塞26,2404.3179,2860.518
1282C,上り閉塞30,2860.518,3461.2012
1282C,上り閉塞36,3461.2012,4108.0796
1282C,上り閉塞42,4108.0796,4711.3955
1282C,上り閉塞48,4711.3955,5401.763
1282C,上り閉塞56,5401.763,6080.976
1282C,上り閉塞62,6080.976,6681.989
1282C,上り閉塞68,6681.989,7236.3335
1282C,上り閉塞74,7236.3335,7657.282
1282C,津崎上り場内1RA,7657.282,8053.1396
1282C,津崎上り出発3R,8053.1396,8448.0205
1282C,上り閉塞86,8448.0205,8952.996
1282C,上り閉塞92,8952.996,9319.459
1282C,浜園上り場内1R,9319.459,9545.836
1282C,浜園上り出発2R,9545.836,10127.332
1282C,上り閉塞102,10127.332,10687.387
1282C,上り閉塞108,10687.387,11283.547
1282C,上り閉塞114,11283.547,11837.41
1282C,上り閉塞120,11837.41,12201.558
1282C,上り閉塞124,12201.558,12647.385
1282C,新野崎上り場内1RB,12647.385,13027.113
1282C,新野崎上り出発11R,13027.113,13439.12
1282C,上り閉塞136,13439.12,13923.076
1282C,上り閉塞142,13923.076,14388.824
1282C,上り閉塞146,14388.824,14888.54
1282C,江ノ原検車区上り場内1RA,14888.54,15393.016
1282C,上り閉塞156,15393.016,15598.468
1282C,大道寺上り場内1R,15598.468,15803.575
1282C,大道寺上り場内3R,15803.575,15936.929
1282C,大道寺入換105R,15936.929,16134.289
1282C,大道寺入換110R,16134.289,16283.22
