diaName,signalName,StartMeter,EndMeter
1202A,館浜上り出発1R,14.99523,313.1457
1202A,上り閉塞6,313.1457,510.07312
1202A,上り閉塞8,510.07312,999.4233
1202A,駒野上り場内1RA,999.4233,1418.3036
1202A,駒野上り場内2RA,1418.3036,1723.8353
1202A,駒野上り出発4R,1723.8353,2335.4106
1202A,上り閉塞26,2335.4106,2791.6082
1202A,上り閉塞30,2791.6082,3392.2935
1202A,上り閉塞36,3392.2935,4039.1848
1202A,上り閉塞42,4039.1848,4642.4897
1202A,上り閉塞48,4642.4897,5332.868
1202A,上り閉塞56,5332.868,6012.098
1202A,上り閉塞62,6012.098,6613.1074
1202A,上り閉塞68,6613.1074,7167.4487
1202A,上り閉塞74,7167.4487,7588.4277
1202A,津崎上り場内1RA,7588.4277,7984.2573
1202A,津崎上り出発3R,7984.2573,8379.142
1202A,上り閉塞86,8379.142,8884.132
1202A,上り閉塞92,8884.132,9250.603
1202A,浜園上り場内1R,9250.603,9476.99
1202A,浜園上り出発2R,9476.99,10058.49
1202A,上り閉塞102,10058.49,10618.536
1202A,上り閉塞108,10618.536,11214.7
1202A,上り閉塞114,11214.7,11768.545
1202A,上り閉塞120,11768.545,12132.699
1202A,上り閉塞124,12132.699,12578.202
1202A,新野崎上り場内1RA,12578.202,12956.258
1202A,新野崎上り出発12R,12956.258,13369.498
1202A,上り閉塞136,13369.498,13853.561
1202A,上り閉塞142,13853.561,14319.212
1202A,上り閉塞146,14319.212,14818.911
1202A,江ノ原検車区上り場内1RA,14818.911,15323.376
1202A,上り閉塞156,15323.376,15528.814
1202A,大道寺上り場内1RA,15528.814,15733.981
1202A,大道寺上り場内2R,15733.981,15878.75
