diaName,signalName,StartMeter,EndMeter
1284C,館浜上り出発3R,16.70475,320.9186
1284C,上り閉塞6,320.9186,517.7916
1284C,上り閉塞8,517.7916,1007.1464
1284C,駒野上り場内1RA,1007.1464,1426.0167
1284C,駒野上り場内2RA,1426.0167,1731.5509
1284C,駒野上り出発4R,1731.5509,2343.1184
1284C,上り閉塞26,2343.1184,2799.335
1284C,上り閉塞30,2799.335,3400.0105
1284C,上り閉塞36,3400.0105,4046.8901
1284C,上り閉塞42,4046.8901,4650.2095
1284C,上り閉塞48,4650.2095,5340.5723
1284C,上り閉塞56,5340.5723,6019.8013
1284C,上り閉塞62,6019.8013,6620.8022
1284C,上り閉塞68,6620.8022,7175.1475
1284C,上り閉塞74,7175.1475,7596.1514
1284C,津崎上り場内1RA,7596.1514,7991.9473
1284C,津崎上り出発3R,7991.9473,8386.839
1284C,上り閉塞86,8386.839,8891.826
1284C,上り閉塞92,8891.826,9258.312
1284C,浜園上り場内1R,9258.312,9484.651
1284C,浜園上り出発2R,9484.651,10066.147
1284C,上り閉塞102,10066.147,10626.192
1284C,上り閉塞108,10626.192,11222.375
1284C,上り閉塞114,11222.375,11776.217
1284C,上り閉塞120,11776.217,12140.394
1284C,上り閉塞124,12140.394,12585.866
1284C,新野崎上り場内1RA,12585.866,12963.926
1284C,新野崎上り出発12R,12963.926,13377.155
1284C,上り閉塞136,13377.155,13861.141
1284C,上り閉塞142,13861.141,14326.848
1284C,上り閉塞146,14326.848,14826.531
1284C,江ノ原検車区上り場内1RA,14826.531,15331.007
1284C,上り閉塞156,15331.007,15536.451
1284C,大道寺上り場内1RB,15536.451,15741.571
1284C,大道寺上り場内3R,15741.571,15874.88
1284C,大道寺入換105R,15874.88,16072.261
1284C,大道寺入換110R,16072.261,16283.05
