diaName,signalName,StartMeter,EndMeter
2069,新野崎入換101L,5.091797,264.55017
2069,新野崎入換104L,264.55017,410.2453
2069,新野崎下り出発2L,410.2453,961.33167
2069,下り閉塞123,961.33167,1557.9371
2069,下り閉塞117,1557.9371,2159.954
2069,下り閉塞111,2159.954,2716.8506
2069,下り閉塞105,2716.8506,3039.7898
2069,下り閉塞103,3039.7898,3496.0396
2069,浜園下り場内2L,3496.0396,3864.8643
2069,浜園下り出発1L,3864.8643,4435.2764
2069,下り閉塞89,4435.2764,4980.0005
2069,津崎下り場内3LB,4980.0005,5344.5312
2069,津崎下り出発2L,5344.5312,5858.9116
2069,下り閉塞75,5858.9116,6231.5645
2069,下り閉塞71,6231.5645,6629.7305
2069,下り閉塞67,6629.7305,7315.3477
2069,下り閉塞59,7315.3477,7879.598
2069,下り閉塞55,7879.598,8380.071
2069,下り閉塞49,8380.071,8879.018
2069,下り閉塞45,8879.018,9280.324
2069,下り閉塞41,9280.324,9916.29
2069,下り閉塞35,9916.29,10602.677
2069,下り閉塞27,10602.677,11115.165
2069,駒野下り場内11LA,11115.165,11616.09
2069,駒野下り出発2L,11616.09,12042.678
2069,駒野下り出発1L,12042.678,12355.191
2069,下り閉塞9,12355.191,12596.351
2069,下り閉塞7,12596.351,12848.074
2069,館浜下り場内1L,12848.074,13270.63
