diaName,signalName,StartMeter,EndMeter
796K,館浜上り出発2R,53.74686,352.3472
796K,上り閉塞6,352.3472,549.2206
796K,上り閉塞8,549.2206,1038.5726
796K,駒野上り場内1RA,1038.5726,1457.4448
796K,駒野上り場内2RA,1457.4448,1762.9598
796K,駒野上り出発4R,1762.9598,2374.5474
796K,上り閉塞26,2374.5474,2830.7559
796K,上り閉塞30,2830.7559,3431.4275
796K,上り閉塞36,3431.4275,4078.314
796K,上り閉塞42,4078.314,4681.624
796K,上り閉塞48,4681.624,5372.002
796K,上り閉塞56,5372.002,6051.2344
796K,上り閉塞62,6051.2344,6652.235
796K,上り閉塞68,6652.235,7206.577
796K,上り閉塞74,7206.577,7627.5156
796K,津崎上り場内1RA,7627.5156,8023.386
796K,津崎上り出発3R,8023.386,8418.266
796K,上り閉塞86,8418.266,8923.256
796K,上り閉塞92,8923.256,9289.738
796K,浜園上り場内1R,9289.738,9516.114
796K,浜園上り出発2R,9516.114,10097.595
796K,上り閉塞102,10097.595,10657.641
796K,上り閉塞108,10657.641,11253.828
796K,上り閉塞114,11253.828,11807.675
796K,上り閉塞120,11807.675,12171.824
796K,上り閉塞124,12171.824,12617.34
796K,新野崎上り場内1RA,12617.34,12995.389
796K,新野崎上り出発12R,12995.389,13408.611
796K,上り閉塞136,13408.611,13892.61
796K,上り閉塞142,13892.61,14358.309
796K,上り閉塞146,14358.309,14858.049
796K,江ノ原検車区上り場内1RA,14858.049,15362.461
796K,上り閉塞156,15362.461,15567.913
796K,大道寺上り場内1RA,15567.913,15773.073
796K,大道寺上り場内2R,15773.073,15920.29
