diaName,signalName,StartMeter,EndMeter
1260,館浜上り出発4R,76.7832,382.0893
1260,上り閉塞6,382.0893,579.42633
1260,上り閉塞8,579.42633,1068.7748
1260,駒野上り場内1RA,1068.7748,1487.642
1260,駒野上り場内2RA,1487.642,1793.1766
1260,駒野上り出発4R,1793.1766,2404.7485
1260,上り閉塞26,2404.7485,2860.9463
1260,上り閉塞30,2860.9463,3461.6343
1260,上り閉塞36,3461.6343,4108.5166
1260,上り閉塞42,4108.5166,4711.828
1260,上り閉塞48,4711.828,5402.1943
1260,上り閉塞56,5402.1943,6081.426
1260,上り閉塞62,6081.426,6682.4253
1260,上り閉塞68,6682.4253,7236.7705
1260,上り閉塞74,7236.7705,7657.7383
1260,津崎上り場内1RA,7657.7383,8053.574
1260,津崎上り出発3R,8053.574,8448.467
1260,上り閉塞86,8448.467,8953.433
1260,上り閉塞92,8953.433,9319.927
1260,浜園上り場内1R,9319.927,9546.292
1260,浜園上り出発2R,9546.292,10127.795
1260,上り閉塞102,10127.795,10687.859
1260,上り閉塞108,10687.859,11284.012
1260,上り閉塞114,11284.012,11837.864
1260,上り閉塞120,11837.864,12202.001
1260,上り閉塞124,12202.001,12647.835
1260,新野崎上り場内1RB,12647.835,13027.3
1260,新野崎入換111R,13027.3,13334.33
