diaName,signalName,StartMeter,EndMeter
1166,館浜上り出発4R,76.7832,382.09113
1166,上り閉塞6,382.09113,579.42334
1166,上り閉塞8,579.42334,1068.7725
1166,駒野上り場内1RA,1068.7725,1487.64
1166,駒野上り場内2RA,1487.64,1793.1716
1166,駒野上り出発4R,1793.1716,2404.7512
1166,上り閉塞26,2404.7512,2860.9458
1166,上り閉塞30,2860.9458,3461.6313
1166,上り閉塞36,3461.6313,4108.517
1166,上り閉塞42,4108.517,4711.837
1166,上り閉塞48,4711.837,5402.209
1166,上り閉塞56,5402.209,6081.4355
1166,上り閉塞62,6081.4355,6682.437
1166,上り閉塞68,6682.437,7236.7837
1166,上り閉塞74,7236.7837,7657.834
1166,津崎上り場内1RB,7657.834,8058.4385
1166,津崎上り出発2R,8058.4385,8449.555
1166,上り閉塞86,8449.555,8956.509
1166,上り閉塞92,8956.509,9322.992
1166,浜園上り場内1R,9322.992,9549.363
1166,浜園上り出発2R,9549.363,10130.845
1166,上り閉塞102,10130.845,10690.896
1166,上り閉塞108,10690.896,11287.051
1166,上り閉塞114,11287.051,11840.907
1166,上り閉塞120,11840.907,12205.039
1166,上り閉塞124,12205.039,12650.856
1166,新野崎上り場内1RB,12650.856,13030.626
1166,新野崎入換111R,13030.626,13342.02
