diaName,signalName,StartMeter,EndMeter
1161,新野崎入換101L,5.144751,264.60428
1161,新野崎入換104L,264.60428,410.29913
1161,新野崎下り出発2L,410.29913,961.3881
1161,下り閉塞123,961.3881,1558.0096
1161,下り閉塞117,1558.0096,2160.0186
1161,下り閉塞111,2160.0186,2716.9233
1161,下り閉塞105,2716.9233,3039.859
1161,下り閉塞103,3039.859,3496.1113
1161,浜園下り場内2L,3496.1113,3864.933
1161,浜園下り出発1L,3864.933,4435.3335
1161,下り閉塞89,4435.3335,4980.079
1161,津崎下り場内3LB,4980.079,5344.598
1161,津崎下り出発2L,5344.598,5858.991
1161,下り閉塞75,5858.991,6231.6426
1161,下り閉塞71,6231.6426,6629.8076
1161,下り閉塞67,6629.8076,7315.443
1161,下り閉塞59,7315.443,7879.676
1161,下り閉塞55,7879.676,8380.1455
1161,下り閉塞49,8380.1455,8879.094
1161,下り閉塞45,8879.094,9280.39
1161,下り閉塞41,9280.39,9916.348
1161,下り閉塞35,9916.348,10602.7295
1161,下り閉塞27,10602.7295,11115.254
1161,駒野下り場内11LA,11115.254,11616.14
1161,駒野下り出発2L,11616.14,12042.721
1161,駒野下り出発1L,12042.721,12355.233
1161,下り閉塞9,12355.233,12596.378
1161,下り閉塞7,12596.378,12848.1045
1161,館浜下り場内1LD,12848.1045,12853.504
1161,館浜下りり場内1L,12853.504,13329.55
