diaName,signalName,StartMeter,EndMeter
3643K,大道寺下り出発2L,18.59504,559.67065
3643K,江ノ原検車区下り場内1LA,559.67065,846.1858
3643K,下り閉塞151,846.1858,1365.115
3643K,下り閉塞145,1365.115,1646.8389
3643K,下り閉塞143,1646.8389,2140.8074
3643K,下り閉塞137,2140.8074,2498.3682
3643K,新野崎下り場内5LA,2498.3682,2826.5322
3643K,新野崎下り場内3L,2826.5322,2972.6523
3643K,新野崎下り出発1L,2972.6523,3522.6353
3643K,下り閉塞123,3522.6353,4119.2666
3643K,下り閉塞117,4119.2666,4721.258
3643K,下り閉塞111,4721.258,5278.1562
3643K,下り閉塞105,5278.1562,5601.089
3643K,下り閉塞103,5601.089,6057.3525
3643K,浜園下り場内2L,6057.3525,6426.173
3643K,浜園下り出発1L,6426.173,6996.58
3643K,下り閉塞89,6996.58,7540.703
3643K,津崎下り場内3LA,7540.703,7907.159
3643K,津崎下り出発1L,7907.159,8422.388
3643K,下り閉塞75,8422.388,8795.029
3643K,下り閉塞71,8795.029,9193.193
3643K,下り閉塞67,9193.193,9878.843
3643K,下り閉塞59,9878.843,10443.084
3643K,下り閉塞55,10443.084,10943.56
3643K,下り閉塞49,10943.56,11442.478
3643K,下り閉塞45,11442.478,11843.787
3643K,下り閉塞41,11843.787,12479.757
3643K,下り閉塞35,12479.757,13166.147
3643K,下り閉塞27,13166.147,13678.678
3643K,駒野下り場内11LA,13678.678,14179.593
3643K,駒野下り出発2L,14179.593,14606.192
3643K,駒野下り出発1L,14606.192,14918.681
3643K,下り閉塞9,14918.681,15159.84
3643K,下り閉塞7,15159.84,15411.548
3643K,館浜下り場内1L,15411.548,15883.22
