diaName,signalName,StartMeter,EndMeter
3545B,大道寺下り出発2L,18.59613,559.6708
3545B,江ノ原検車区下り場内1LA,559.6708,846.1848
3545B,下り閉塞151,846.1848,1365.116
3545B,下り閉塞145,1365.116,1646.8406
3545B,下り閉塞143,1646.8406,2140.8186
3545B,下り閉塞137,2140.8186,2498.348
3545B,新野崎下り場内5LA,2498.348,2826.5374
3545B,新野崎下り場内3L,2826.5374,2972.653
3545B,新野崎下り出発1L,2972.653,3522.633
3545B,下り閉塞123,3522.633,4119.224
3545B,下り閉塞117,4119.224,4721.256
3545B,下り閉塞111,4721.256,5278.1616
3545B,下り閉塞105,5278.1616,5601.098
3545B,下り閉塞103,5601.098,6057.3564
3545B,浜園下り場内2L,6057.3564,6426.1743
3545B,浜園下り出発1L,6426.1743,6996.5703
3545B,下り閉塞89,6996.5703,7540.7134
3545B,津崎下り場内3LA,7540.7134,7907.172
3545B,津崎下り出発1L,7907.172,8422.397
3545B,下り閉塞75,8422.397,8795.078
3545B,下り閉塞71,8795.078,9193.2295
3545B,下り閉塞67,9193.2295,9878.852
3545B,下り閉塞59,9878.852,10443.099
3545B,下り閉塞55,10443.099,10943.561
3545B,下り閉塞49,10943.561,11442.46
3545B,下り閉塞45,11442.46,11843.776
3545B,下り閉塞41,11843.776,12479.719
3545B,下り閉塞35,12479.719,13166.119
3545B,下り閉塞27,13166.119,13680.487
3545B,駒野下り場内11LA,13680.487,14179.514
3545B,駒野下り出発2L,14179.514,14606.112
3545B,駒野下り出発1L,14606.112,14918.618
3545B,下り閉塞9,14918.618,15159.801
3545B,下り閉塞7,15159.801,15411.494
3545B,館浜下り場内1LB,15411.494,15883.65
