diaName,signalName,StartMeter,EndMeter
555B,江ノ原検車区下り出発3L,4.423951,277.9885
555B,下り閉塞151,277.9885,797.0667
555B,下り閉塞145,797.0667,1078.7974
555B,下り閉塞143,1078.7974,1572.7692
555B,下り閉塞137,1572.7692,1930.3213
555B,新野崎下り場内5LA,1930.3213,2258.497
555B,新野崎下り場内3L,2258.497,2404.6184
555B,新野崎下り出発1L,2404.6184,2954.5996
555B,下り閉塞123,2954.5996,3551.177
555B,下り閉塞117,3551.177,4153.223
555B,下り閉塞111,4153.223,4710.1284
555B,下り閉塞105,4710.1284,5033.066
555B,下り閉塞103,5033.066,5489.317
555B,浜園下り場内2L,5489.317,5858.13
555B,浜園下り出発1L,5858.13,6428.5405
555B,下り閉塞89,6428.5405,6972.7197
555B,津崎下り場内3LA,6972.7197,7339.1123
555B,津崎下り出発1L,7339.1123,7854.345
555B,下り閉塞75,7854.345,8226.996
555B,下り閉塞71,8226.996,8625.164
555B,下り閉塞67,8625.164,9310.781
555B,下り閉塞59,9310.781,9875.038
555B,下り閉塞55,9875.038,10375.475
555B,下り閉塞49,10375.475,10874.434
555B,下り閉塞45,10874.434,11275.7295
555B,下り閉塞41,11275.7295,11911.692
555B,下り閉塞35,11911.692,12598.08
555B,下り閉塞27,12598.08,13110.623
555B,駒野下り場内11LA,13110.623,13611.525
555B,駒野下り出発2L,13611.525,14038.125
555B,駒野下り出発1L,14038.125,14350.621
555B,下り閉塞9,14350.621,14591.801
555B,下り閉塞7,14591.801,14843.512
555B,館浜下り場内1L,14843.512,15236.49
