diaName,signalName,StartMeter,EndMeter
654K,館浜上り出発2R,12.98464,311.57928
654K,上り閉塞6,311.57928,508.4571
654K,上り閉塞8,508.4571,997.8076
654K,駒野上り場内1RA,997.8076,1416.6754
654K,駒野上り場内2RA,1416.6754,1722.2056
654K,駒野上り出発4R,1722.2056,2333.7837
654K,上り閉塞26,2333.7837,2789.978
654K,上り閉塞30,2789.978,3390.6646
654K,上り閉塞36,3390.6646,4037.5525
654K,上り閉塞42,4037.5525,4640.866
654K,上り閉塞48,4640.866,5331.2334
654K,上り閉塞56,5331.2334,6010.455
654K,上り閉塞62,6010.455,6611.4575
654K,上り閉塞68,6611.4575,7165.8022
654K,上り閉塞74,7165.8022,7586.727
654K,津崎上り場内1RA,7586.727,7982.61
654K,津崎上り出発3R,7982.61,8377.488
654K,上り閉塞86,8377.488,8882.463
654K,上り閉塞92,8882.463,9248.956
654K,浜園上り場内1R,9248.956,9475.352
654K,浜園上り出発2R,9475.352,10056.826
654K,上り閉塞102,10056.826,10616.867
654K,上り閉塞108,10616.867,11213.033
654K,上り閉塞114,11213.033,11766.89
654K,上り閉塞120,11766.89,12131.059
654K,上り閉塞124,12131.059,12576.555
654K,新野崎上り場内1RA,12576.555,12954.623
654K,新野崎上り出発12R,12954.623,13367.875
654K,上り閉塞136,13367.875,13851.94
654K,上り閉塞142,13851.94,14317.57
654K,上り閉塞146,14317.57,14817.26
654K,江ノ原検車区上り場内1RA,14817.26,15321.731
654K,上り閉塞156,15321.731,15527.199
654K,大道寺上り場内1RA,15527.199,15732.368
654K,大道寺上り場内2R,15732.368,15879.12
